400 2000
11 10 2
207 60 8
89 276 7
373 245 9
279 350 4
269 322 5
9 183 8
141 22 2
131 116 1
178 64 2
2 153 5
133 111 3
369 202 5
307 53 5
260 18 10
317 7 4
326 323 10
85 97 7
339 349 6
377 165 7
142 309 3
319 256 4
256 395 5
125 134 8
70 122 3
198 15 3
333 57 5
395 82 5
300 156 3
335 65 4
53 202 9
192 115 3
30 319 5
87 213 2
349 297 6
294 361 10
341 107 1
134 399 3
371 287 1
282 181 3
182 26 8
186 216 4
121 234 7
86 7 2
396 339 5
375 188 10
263 134 6
18 319 10
396 178 1
227 40 1
371 269 10
316 293 7
45 391 10
376 245 5
309 49 7
271 349 5
155 180 6
394 108 2
83 130 2
392 67 1
32 11 4
240 159 9
109 35 4
92 6 6
198 364 3
311 361 1
111 62 1
30 285 8
293 20 3
9 347 6
266 304 1
85 187 6
252 297 10
276 139 6
341 167 2
338 8 7
7 12 2
271 369 1
349 158 9
216 357 6
53 142 9
256 248 9
382 195 9
253 35 2
315 203 4
192 135 10
5 120 2
325 394 10
18 205 1
167 307 6
108 109 9
86 73 2
385 256 10
155 346 6
216 246 6
398 391 8
127 299 9
219 149 8
235 112 6
218 284 3
192 294 4
82 370 7
298 183 8
264 373 2
35 351 4
62 276 10
18 123 10
213 363 7
93 32 1
104 32 5
19 376 2
297 150 3
77 275 5
358 318 1
241 236 5
71 108 10
164 62 5
68 210 4
92 394 10
329 168 9
119 258 2
169 125 2
307 357 2
128 32 4
251 293 4
45 156 7
130 225 2
35 352 1
261 393 9
175 4 7
284 395 7
117 4 1
228 236 4
124 111 7
79 272 1
225 110 9
229 279 5
99 15 9
299 82 6
346 205 4
75 15 7
85 296 9
94 39 7
350 374 6
285 287 2
37 166 5
211 257 2
170 6 3
347 147 8
98 87 1
165 163 7
116 199 8
271 105 3
152 111 6
135 361 5
389 57 6
200 93 8
3 109 10
190 207 7
237 166 6
305 30 10
194 216 4
378 182 4
80 111 6
3 119 8
192 299 2
375 0 3
131 299 4
348 382 10
121 11 8
25 77 4
59 162 3
329 197 8
220 182 8
254 41 7
105 239 2
151 275 10
346 212 1
5 91 4
219 45 3
158 165 1
146 194 8
260 19 2
265 399 3
239 238 10
160 162 8
286 391 5
162 11 9
325 385 6
265 103 9
27 356 8
251 328 6
177 207 8
108 68 9
281 357 1
317 252 3
133 10 10
336 237 7
392 90 4
352 234 2
299 300 7
77 206 8
92 336 7
367 16 3
326 61 5
369 240 5
51 207 6
130 102 10
143 312 1
280 130 5
157 61 1
314 10 2
227 0 1
240 93 6
290 70 7
324 0 2
144 220 3
32 24 2
39 109 8
373 335 4
311 132 3
139 147 9
99 395 9
294 239 4
83 191 6
30 376 7
277 218 2
325 293 6
192 195 6
250 20 4
192 341 1
273 184 3
288 129 5
343 203 1
70 343 8
247 277 5
175 178 2
239 50 2
200 102 9
341 183 4
303 378 3
140 398 9
136 211 1
99 170 6
246 31 5
86 258 2
381 392 5
161 102 2
28 254 9
388 223 10
237 357 4
393 289 10
234 227 5
117 365 7
145 112 1
26 100 2
228 155 2
114 271 9
202 304 3
230 7 4
127 47 10
123 75 9
57 126 3
353 385 10
6 183 6
340 95 1
19 159 5
286 159 10
399 113 7
36 279 3
203 185 4
128 141 8
340 181 6
305 307 2
129 169 8
146 378 5
116 143 7
129 127 7
240 181 6
203 381 5
336 384 8
8 339 6
45 109 2
10 269 5
394 41 1
83 369 8
275 176 8
146 6 4
96 77 4
214 373 3
115 356 5
123 191 10
