100 500
68 24 5
14 63 9
5 63 2
19 31 5
5 68 3
3 21 7
83 10 3
4 11 4
10 21 4
79 16 8
68 55 7
9 54 8
77 25 10
14 3 2
88 14 2
74 42 9
28 0 6
33 28 8
18 62 1
72 26 7
67 4 5
78 32 4
67 56 6
60 83 6
30 2 1
54 4 7
62 70 4
69 90 2
16 98 2
74 51 8
9 88 4
7 93 10
49 47 6
79 11 4
35 99 6
84 55 1
7 53 10
72 18 5
90 11 4
53 20 3
16 48 7
67 80 4
89 52 3
85 47 6
59 94 4
61 81 2
85 64 5
14 66 5
32 9 9
3 14 4
36 75 1
41 83 3
62 15 1
47 78 2
86 44 4
5 12 4
45 50 1
91 32 5
29 92 4
40 2 9
14 72 2
28 92 5
17 61 2
43 80 7
95 84 9
46 77 9
65 97 2
23 43 2
99 56 5
0 22 1
50 69 2
81 26 8
34 80 5
96 50 1
28 37 8
91 31 8
95 80 2
30 47 9
47 14 2
24 10 2
39 89 9
58 15 10
4 12 4
59 14 8
39 1 5
28 41 1
33 42 10
95 62 6
50 5 2
15 71 4
72 23 6
75 6 4
84 53 6
46 45 4
44 79 2
42 5 5
78 60 2
35 54 5
14 27 8
26 68 9
87 48 5
90 79 7
6 66 2
76 65 5
45 97 8
91 48 5
26 62 6
91 79 1
66 2 10
23 3 2
57 47 1
16 63 2
38 66 6
81 85 7
13 31 1
38 3 5
21 11 10
97 54 7
35 94 5
34 26 10
46 68 3
83 1 7
19 61 6
43 19 2
22 48 5
42 3 7
88 18 1
53 56 7
24 49 8
11 16 4
26 59 8
72 60 9
90 35 9
73 75 6
96 21 6
1 30 8
89 12 10
87 61 10
54 3 5
65 5 7
75 57 7
98 15 10
47 12 1
54 88 9
49 71 6
65 32 3
68 1 5
6 18 2
36 52 3
22 69 4
15 65 6
49 95 3
45 89 10
54 58 4
15 92 2
99 73 2
97 66 4
57 83 7
10 27 8
80 66 2
23 97 5
82 93 5
31 75 4
25 29 9
32 98 10
46 47 10
78 75 1
1 97 6
18 59 6
56 18 1
85 24 4
45 94 8
70 65 9
33 53 3
60 56 3
89 10 5
64 45 5
61 18 7
72 46 7
23 99 2
61 77 1
95 41 1
75 58 7
97 38 10
30 10 9
12 43 8
12 77 9
99 93 3
3 82 2
60 82 10
75 1 9
62 39 9
48 46 7
18 65 9
42 52 4
54 61 6
58 20 8
26 51 9
66 14 7
96 29 5
51 64 7
27 85 1
6 96 8
24 75 9
15 25 8
65 73 7
6 11 2
69 48 2
22 70 1
69 33 6
30 87 4
45 78 1
34 66 5
3 31 6
82 2 5
49 86 9
3 54 8
98 2 4
5 96 6
91 53 7
34 9 10
61 63 6
89 45 10
21 34 10
39 2 7
42 22 2
50 6 3
77 22 4
31 19 8
47 75 6
7 58 6
89 59 9
90 18 5
67 25 6
74 25 2
96 82 9
7 82 8
30 1 6
44 10 8
76 39 1
61 87 2
