1000 5000
863 257 6
804 32 6
24 628 2
5 66 4
402 301 5
189 754 6
657 889 3
606 93 4
10 244 8
36 264 3
223 537 8
645 671 9
394 130 4
458 591 10
599 627 10
657 471 8
14 93 5
706 131 10
682 80 7
630 423 7
347 754 3
406 732 3
498 438 10
820 992 7
530 458 7
962 268 3
556 768 2
627 532 7
361 339 4
385 53 8
617 99 8
532 550 10
830 146 3
515 987 9
849 780 2
810 25 5
577 942 10
865 510 6
38 30 5
823 34 6
332 280 6
7 618 2
402 184 7
491 276 5
866 469 3
552 789 7
813 676 2
183 336 1
10 262 2
193 412 1
429 114 4
575 478 7
414 639 10
732 98 3
627 387 1
677 340 10
813 531 10
326 646 5
32 738 7
187 313 7
880 760 10
891 841 7
778 406 3
760 213 5
557 310 4
485 776 7
61 355 7
883 832 6
815 682 4
908 372 5
890 374 7
269 469 7
758 569 5
175 12 2
917 984 7
471 281 10
512 776 1
241 876 3
775 587 10
77 453 7
35 471 8
544 293 7
57 128 7
546 157 1
422 966 9
648 280 8
472 930 9
554 323 3
300 543 3
365 463 10
755 740 2
175 308 9
156 746 3
477 914 8
237 149 5
826 318 5
296 440 9
548 860 8
792 548 2
627 500 8
40 543 10
786 312 8
63 255 3
51 183 1
802 51 4
32 676 1
119 942 9
398 994 8
456 997 2
696 960 1
162 285 5
486 425 7
902 101 9
339 322 2
953 695 10
211 510 3
47 27 3
420 721 4
237 486 10
326 0 2
4 427 9
466 108 9
545 408 2
820 962 10
312 486 1
140 903 10
495 268 4
271 660 3
186 156 2
413 754 2
548 795 10
303 865 10
968 311 9
592 390 7
602 466 4
943 6 4
949 963 5
125 612 1
810 76 3
388 195 9
215 482 7
562 300 5
714 909 5
680 512 7
687 211 4
661 95 10
177 306 1
717 278 10
414 10 8
446 202 9
294 829 8
709 408 7
696 610 4
403 496 2
135 980 8
93 157 5
104 574 9
835 66 6
964 73 6
657 636 6
32 80 2
828 758 7
312 541 9
906 203 8
99 720 9
201 921 9
775 790 5
132 822 5
778 957 9
620 954 9
42 472 8
876 568 1
255 945 5
441 701 10
691 345 10
822 983 1
889 462 3
724 865 3
486 957 4
972 553 6
725 375 2
601 262 3
662 569 9
522 670 7
925 289 2
122 751 5
456 467 5
414 786 2
272 304 5
878 336 7
680 398 5
53 201 10
870 541 7
197 524 1
213 709 10
217 838 8
14 444 3
833 814 8
266 110 10
422 209 4
246 468 4
631 993 5
147 358 1
674 948 8
870 503 2
691 22 8
201 843 6
284 97 3
953 98 4
674 906 5
804 653 8
757 227 8
234 310 8
210 178 3
683 279 7
195 879 1
695 428 9
460 837 9
737 234 7
317 645 5
941 398 8
90 268 8
271 529 4
248 536 7
559 873 7
428 176 9
513 719 10
639 214 8
668 329 8
500 80 1
927 197 1
592 869 4
181 141 10
442 365 10
850 728 10
611 469 1
351 721 4
932 709 7
704 848 4
598 363 3
123 202 9
76 992 5
245 116 5
900 232 2
944 219 4
915 314 7
335 10 6
643 437 7
562 510 3
820 190 8
341 219 8
836 314 5
833 150 3
970 803 3
469 180 5
396 211 6
112 392 6
172 326 3
751 983 3
489 719 10
753 617 5
671 52 7
154 336 2
688 670 2
706 499 4
371 378 4
802 596 8
747 69 2
198 905 10
86 268 2
500 620 3
648 200 7
306 426 4
165 438 9
703 496 3
452 27 10
635 642 7
338 154 9
752 336 4
390 767 2
745 611 5
296 822 3
193 804 6
807 181 3
58 594 5
690 9 1
949 539 6
351 713 10
917 493 6
170 403 4
604 522 8
610 157 7
409 114 5
525 998 9
655 611 10
281 663 2
50 323 10
44 381 10
720 597 2
877 57 9
799 645 6
383 935 1
393 299 4
318 581 8
459 583 1
299 904 6
54 389 7
113 178 7
343 447 1
58 821 2
488 603 2
288 175 1
9 688 7
882 962 3
56 249 4
115 42 7
243 552 1
990 505 10
421 428 8
67 91 6
177 909 4
466 410 6
563 595 10
495 27 3
592 647 8
555 330 2
786 89 7
255 189 7
464 976 2
386 513 10
479 816 3
670 221 9
847 664 8
122 291 2
986 120 1
916 245 9
666 413 8
360 362 8
909 669 6
304 360 5
864 454 10
200 392 7
932 416 10
493 33 10
741 425 10
839 813 8
454 196 4
619 436 1
536 650 1
835 465 7
263 585 9
638 232 6
489 315 2
79 350 2
265 46 7
323 271 7
91 460 5
331 155 7
502 616 9
566 890 8
698 679 6
73 825 7
559 263 2
765 756 3
973 18 6
892 167 6
480 441 9
724 10 1
679 1 4
169 441 9
366 878 8
680 146 6
556 600 8
822 130 3
515 689 4
233 754 7
945 714 2
962 338 1
219 469 5
81 886 8
862 237 5
178 547 6
119 538 9
121 819 6
804 457 8
85 489 4
240 625 4
187 620 7
964 202 6
181 68 6
498 678 3
877 354 9
251 639 2
459 825 7
464 892 4
485 492 7
218 982 6
22 347 9
743 962 9
295 159 9
217 958 7
7 33 5
803 16 6
319 839 9
283 631 6
724 641 7
287 406 3
244 652 3
844 328 4
447 482 10
73 330 5
219 185 7
319 446 8
131 863 4
562 363 4
788 342 5
468 733 3
667 598 8
779 783 8
804 326 8
125 998 10
966 280 10
564 886 2
439 899 1
929 933 7
714 411 4
143 809 10
489 862 3
794 868 8
812 322 5
193 602 3
793 403 9
721 176 1
938 406 3
